recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Extremely Spicy Pork Adobo na Tuyo,10 minutes,1 hour,4 hours,4,2 lbs. pork belly cut into serving pieces | 1 Ghost Pepper | 2 teaspoons whole peppercorn | 6 cloves garlic crushed | 6 pieces dried bay leaves | 12 pieces Thai chili | 1/2 cup soy sauce | 1/4 cup white vinegar | 2 cups beef broth,"Combine pork, soy sauce, whole peppercorn, and garlic in a bowl. Mix well. Cover the bowl with a clear plastic wrap. Place inside the refrigerator and marinate for at least 3 hours. | Heat a pan on a stovetop. Once the pan is hot enough, pour the marinated pork along with the marinade. Cook until the pork browns. | Pour beef broth into the pan. Let boil. | Add the ghost pepper and Thai chilies. Cover the pan and continue to cook in medium heat for 15 minutes. | Add bay leaves and vinegar. Let the liquid boil. Stir and then cover the pan. Continue to cook for 40 to 60 minutes or until the pork becomes tender. Note: you can add more broth or water if the liquid starts to dry while the pork is not that tender enough. | Remove the cover from the pan. Continue to cook until the liquid totally evaporates. Cook a little bit longer in low to medium heat until oil gets extracted from the pork. | Transfer to a serving plate. Serve for pulutan or as a main dish with warm rice. | Share and enjoy!",pork | ghost pepper | whole peppercorn | dried bay leave | thai chili | beef broth
How to Cook Sinampalukang Manok,10 minutes,50 minutes,1 hour,4,"2 lbs. chicken cut into serving pieces | 3/4 cups tamarind flower buds or tamarind leaves | 1 large red onion | 4 pieces long green pepper siding pansigang | 3 thumbs ginger sliced | 4 cloves garlic crushed | 1 20 g. Knorr Sinigang sa Sampaloc Mix, original | 1 Knorr Chicken Cube | 3 tablespoons fish sauce | 6 cups water","Heat cooking pot and then sear the chicken. Continue to cook until most of the chicken fat are extracted. | Remove the chicken from the pot. Set aside. | Using the extracted oil, sauce garlic, onion, and ginger. | Once the onion becomes soft, add the chicken back to the pot. | Pour water. Let boil. Seal the tamarind flower buds in a cheesecloth and tie using a kitchen twine. | Add the cheese cloth with tamarind flower buds in the pot. Stir. | Add Knorr chicken cube and long green pepper. Cover the pot. Cook in medium heat until the chicken gets tender. | Remove the tamarind flower buds. Add Knorr Singing Mix. Stir. | Add fish sauce. Cook for 5 minutes. | Transfer to a serving plate. Serve. | Share and enjoy!",chicken | tamarind flower bud | long green pepper | thumbs ginger
How To Cook Super Crispy Lechon Kawali,15 minutes,1 hour,1 hour 15 minutes,5,3 lbs. pork belly | 5 pieces dried bay leaves | 1 1/2 tablespoons whole pepperorn | 3 pints water | 2 pints cooking oil | 1 tablespoon salt,"Boil water in a cooking pot. | Add dried bay leaves and whole peppercorn. Cook for 2 minutes. | Add pork belly. Cover and cook in medium heat for 30 minutes or until tender. Turn the meat over (if necessary) to equally cook the opposite side. | Remove the pork belly from the cooking pot. Place it in a clean plate. Let it cool down until you can safely handle it with your hands. | Rub salt all over the pork. Let it stay for 15 minutes. | Heat oil in a deep cooking pot. Once the oil gets hot (320F to 350F), put the boiled pork belly in skin side facing down. Deep fry until the skin turns brown. Note: there is no definite time for this step. Use the sound of the oil as your queue. When the oil starts to calm down a bit, check the pork belly to see if the skin is brown. | Turn the pork belly over and deep fry the opposite side for 5 minutes. | Remove the entire pork belly slab from the cooking pot. Place it in a plate with grates or lined with paper towel. Let it rest for 10 to 15 minutes. Note: turn off the stove during this time. | Turn on the stove to heat the oil. Once the oil is hot enough, put the pork belly back into the pot skin side facing down. Deep fry for 3 to 6 minutes or until golden brown. | Remove from the cooking pot. Put on a plate and let the excess oil drip. | Test for crispiness by hitting the crackling (crispy skin) lightly with a fork or knife. It should create a sound. Chop the super crispy lechon kawali into bite-sized pieces. | Transfer to a serving plate. Serve with your favorite dipping sauce and a cup of warm rice. | Share and enjoy!",pork | dried bay leave | whole pepperorn
Grilled Liempo with Fried Tofu,10 minutes,25 minutes,35 minutes,3,1 lb. grilled liempo chopped | 6 ounces deep fried extra firm tofu cubed | Spiced Vinegar | 3/4 cup white vinegar | 4 pieces chili peppers | 1 small red onion sliced | 2 tablespoons chopped green onions |  1/2 teaspoon granulated white sugar |  2 tablespoons soy sauce |  A dash of ground black pepper,Prepare the spiced vinegar by combining all of its ingredients listed above. Stir and ensure that it gets well blended. | Place the chopped pork belly and cubed fried tofu in a large bowl. Pour the spiced vinegar into the bowl. Toss until pork and tofu gets completely coated. | Transfer to a serving bowl. Sprinkle green onions on top. | Serve. Share and enjoy!,grilled liempo | firm tofu | chili pepper | green onion | a dash black pepper
Spicy Calderetang Kambing with Peanut Butter (Goat Meat Caldereta),10 minutes,2 hours,2 hours 10 minutes,8,4 lbs. goat meat chopped | 6 to 8 pieces Thai chili pepper | 3/4 cup green peas | 1 red bell pepper sliced into squares | 1 green bell pepper sliced into squares | 10 tablespoons peanut butter | 1 6 oz. can tomato paste | 1 8 oz. can tomato sauce | 1 medium onion chopped | 4 cloves garlic crushed | 2 cups beef broth | 3 tablespoons cooking oil | Salt and ground black pepper to taste,"Heat oil in a pot. | Saute garlic, onion, and chilies for 3 minutes. | Add goat meat. Saute until light brown. | Add tomato paste and pour tomato sauce. Stir. | Pour beef broth. Let boil. Cover and cook between low to medium heat for 90 minutes or until tender. | Add peanut butter. Stir to ensure that all ingredients are well blended. | Add salt and ground black pepper. | Stir-in green peas and bell peppers. Cover and cook for 8 to 10 minutes. | Transfer to a serving plate. Serve. | Share and enjoy!",goat meat | thai chili pepper | green pea | bell pepper | peanut butter | paste | sauce | beef broth
Spicy Daing na Bangus,3 hours,15 minutes,3 hours 15 minutes,2,"1 medium to large milkfish bangus, scales removed and butterflied | 2 tablespoons Knorr Liquid seasoning | 5 cloves garlic crushed and chopped | 5 pieces Thai chili minced | 1 teaspoon crushed whole peppercorn | 1/2 cup white vinegar | 1 cup cooking oil","Arrange the fish in a large plate belly part facing upwards. | Pour Knorr Liquid Seasoning all over the fish. Distribute equally using your hands.Let it stay for 5 minutes. | Rub ground black pepper, chili, and garlic. Pour the vinegar. Flip the fish over so that the belly part faces downward. This will let the meat absorb the seasoning and spices better. | Cover the fish with a clear plastic wrap. Refrigerate overnight. | Heat oil in a wide pan. Once the oil gets hot, pan fry the fish. until golden brown. Turn the fish over using a wide spatula to cook the opposite side. Note: use a splatter screen to protect yourself | Remove the fish from the pan. Arrange in a plate. | Serve with garlic fried rice. | Share and enjoy",milkfish bangus | thai chili | crushed whole peppercorn
Ginataang Langka with Alimasag,10 minutes,40 minutes,50 minutes,5,"3 pieces blue crabs cut in half | 2 20 oz. cans unripe jackfruit, chopped | 2 33g packs Knorr Ginataang Gulay Recipe Mix | 1 cup malunggay leaves | 2 1/2 cups water | 2 tablespoons fish sauce | 3 pieces chili pepper optional | 4 cloves garlic crushed | 1 small yellow onion chopped | 1 thumb ginger sliced into thin strips | 3 tablespoons cooking oil","Heat oil in a pot. | Saute garlic, onion, and ginger. | Add jackfruit. Continue to saute for 3 minutes. | Combine Knorr Ginataang Gulay Recipe Mix with 1 cup water. Mix well. | Add chili pepper and pour the Ginataang Gulay mixture into the pot. Stir. Let boil. Cook in medium heat for 10 to 12 minutes while stirring every 5 minutes. | Add crabs. Cover and cook for 10 minutes. | Put the malunggay leaves into the pot and pour-in the fish sauce. Stir and then cook for 5 minutes or until the liquid eveporates completely. | Transfer to a serving plate. serve. | Share and enjoy!",blue crab | unripe jackfruit | malunggay leave | chili pepper | thumb ginger
Spicy Monggo with Tinapa,5 minutes,50 minutes,55 minutes,6,3/4 cup tinapa flakes | 14 ounces monggo | 1 Knorr Shrimp Cube | 1 1/2 cups ampalaya leaves | 2 medium tomato cubed | 1 medium onion chopped | 8 pieces Thai chili | 4 cloves garlic crushed | 8 to 10 cups water | 3 tablespoons fish sauce patis | 1/4 teaspoons ground black pepper | 3 tablespoons cooking oil,"Heat oil in a pot. | Saute garlic, onion, and tomato until it becomes soft. | Add tinapa flakes. Stir. Cook for 1 minute. | Add Thai chili and monggo. Cook for 2 minutes. | Pour water. Let boil. | Add Knorr Shrimp Cube. Cover and cook in medium heat until monggo becomes soft. Note: add water if needed. | Put the ampalaya leaves into the pot and then add fish sauce and ground black pepper. Stir. Cook for 3 to 5 minutes more. | Transfer to a serving bowl. Serve with rice. | Share and enjoy!",tinapa flake | monggo | ampalaya leave | tomato | thai chili | fish sauce fish sauce
Seafood Pancit Canton,10 minutes,35 minutes,45 minutes,5,"8 ounces pancit canton flour stick noodles | 1/2 cup soy sauce | 1 medium onion sliced | 2 cups chicken broth | 3 tablespoons cooking oil | 4 medium squid sliced crosswise | 12 pieces shrimp cleaned, deveined, and shell removed | 4 ounces imitation crab meat sliced | 6 squid balls sliced in half | 1/2 lb. sliced white mushroom | 5 leaves Napa cabbage chopped | 3/4 cup carrots julienne | 1 teaspoon sesame oil | 3 1/2 tablespoons oyster sauce | 3 cups chicken broth | 1 tablespoon cornstarch dilited in 3 tablespoons water | 3 tablespoons cooking oil","Prepare the topping ingredients by heating oil in a wok. | Add shrimp, squid, crab meat, and squid balls. Stir fry for 1 minute. | Add mushrooms, carrots, and Napa cabbage. Continue to cook for 3 minutes. | Add oyster sauce, sesame oil, and chicken broth. Stir. Let boil. | Pour the cornstarch and water mixture. Stir and continue to cook until desired thickess is achieved. Turn the heat off. Set aside. | Prepare the noodles by heating oil in a clean pot or wok. | Saute the onion until it gets soft. | Add soy sauce and chicken broth. Let boil. | Add the pancit canton (flour stick noodles). Cover the pot and continue to cook in medium heat for 3 minutes. | Remove the cover.Stir. Add the topping with sauce into the pot. Toss and continue to cook in medium heat until the noodles absorbs the sauce. | Transfer to a serving plate. | Serve. Share and enjoy!",pancit canton flour noodle | chicken broth | squid | shrimp | imitation crab meat | squid ball | white mushroom | leaves napa cabbage | carrots julienne | sesame oil | oyster sauce | cornstarch
Seafood Sinigang,10 minutes,40 minutes,50 minutes,6,2 6 ounces slices fish steak | 1 lb. shrimp cleaned | 2 25g pack Knorr Sinigang na May Miso Recipe Mix | 6 snake beans cut in 2 inch pieces | 8 to 10 pieces mustard leaves | 9 to 12 pieces okra | 2 pieces banana pepper or long green chili | 2 quarts rice wash hugas bigas | 2 medium tomato wedged | 1 medium yellow onion wedged | 3 tablespoons fish sauce patis,Pour rice wash in a soup pot. Let boil. | Add tomato and onion. Cook for 5 minutes. | Add fish and shrimp. | Add Knorr Sinigang na May Miso Recipe Mix. Stir. | Put all the vegetables into the pot. Cover and cook for 6 to 8 minutes. | Pour fish sauce and add the mustard leaves. Cook for 2 minutes. | Transfer to a serving bowl. Serve with rice. | Share and enjoy!,fish steak | shrimp | snake bean | mustard leave | okra | long green chili | rice water rice water | tomato | fish sauce fish sauce
Chicken Adobo sa Gata,20 minutes,50 minutes,1 hour 10 minutes,4,2 lbs. chicken cut into serving pieces | 1 head garlic crushed | 1 tablespoon crushed peppercorn | 2 cups coconut milk | 5 pieces dried bay leaves | 6 tablespoons soy sauce | 5 tablespoons white vinegar | 3 tablespoons cooking oil,"Combine chicken, soy sauce, half of the crushed garlic, and crushed peppercorn in a bowl. Mix well. Marinate the chicken for 20 minutes. | Heat oil in a cooking pot. | Once the oil is hot enough, saute the remaining garlic until it turns light brown. | Add the chicken (including all the marinade ingredients) and dried bay leaves. Cook until the chicken browns. | Pour vinegar into the pot. Let boil. Stir and continue to cook for 5 minutes. | Pour the coconut milk. Let boil. Cover and simmer until the chicken becomes tender. Note: you can continue cooking until the sauce reduces to your desired consistency. | Transfer to a serving bowl. | Serve. Share and enjoy!",chicken | crushed peppercorn | coconut milk | dried bay leave
Kilawing Tuna with Coconut Cream (Filipino Fish Ceviche),10 minutes,1 hour,1 hour 10 minutes,4,1/2 lb. tuna cut into cubes | 1/2 teaspoon salt | 1/8 teaspoon ground black pepper | 2 thumbs ginger. minced | 1 small red onion chopped | 5 pieces Thai chili chopped | 2 pieces Jalapeo chopped | Juice from 8 limes or 12 calamansi | 1/2 cup coconut cream,"Arrange the cubed tuna in a bowl. | Add salt, ground black pepper, ginger, onion, chili peppers, and lime juice. Mix well. Refrigerate for at least one hour. | Pour the coconut cream into the bowl. Stir until all ingredients are well blended. | Serve chilled. Share and enjoy!",cubes | thumbs ginger | thai chili | jalapeo | lime | coconut cream
Beef Short Rib Kare Kare,15 minutes,1 hour,1 hour 15 minutes,6,2 1/2 lbs. beef short rib | 10 pieces snake beans cut into 2 inch length | 1 bunch baby bok choy | 1 1/4 cups ground peanut | 1 medium onion chopped | 3 cloves garlic minced | 1 small banana blossom sliced | 1 tablespoon glutinous rice flour diluted in 1/4 cup water | 3/4 cup annatto water | 1 1/2 cups water | 3 tablespoons cooking oil | 1/2 cup sauted shrimp paste,"Heat oil in a pressure cooker. | Once the oil becomes hot, saute garlic and onion. | Add the ground peanut. Cook while stirring for 3 minutes. | Put the beef short ribs in. Cook until light brown. | Pour annatto water and water. Let boil. Note: Make your own annatto water by soaking 1/2 cup annatto or atsuete seeds in 3/4 cup warm water for at least 10 minutes and then stir thoroughly to extract the color. | Cover the pressure cooker. Cook for 30 minutes. | Safely remove the cover and then add the banana blossoms. Cook for 5 minutes. Note: Prepare the banana blossoms by soaking it in water with 3 tablespoons salt for 15 minutes. Wring the banana blossoms before cooking. | Pour the glutinous rice flour with water into the pot. Stir until the texture of the liquid thickens. Note: You can use cornstarch as an alternative ingredient. | Add snake beans and bok choy. Cook for 5 minutes. | Transfer to a serving bowl. Serve with shrimp paste. | Share and enjoy!",short rib | snake bean | baby bok choy | peanut | banana blossom | glutinous rice flour | annatto water
Crispy Tofu Sisig,8 minutes,20 minutes,28 minutes,5,14 oz. extra firm tofu sliced into small cubes | 5 pieces Thai chili chopped | 2 long green pepper chopped | 1 medium yellow onion chopped | 10 tablespoons vegetable broth | 1 teaspoon cornstarch | 1/2 teaspoon onion powder | 1 tablespoon soy sauce | 1 1/2 cups cooking oil | Salt and ground black pepper to taste,"Heat oil in a cooking pot. | Once the oil gets hot, deep-fry the cubed tofu until it turns crispy. Remove from the pot using a kitchen strainer. Put in a metal colander or into a plate lined with paper towel. Set aside. | Combine vegetable broth, soy sauce, onion powder, and cornstarch in a bowl. Stir until all the ingredients are well blended. Set aside. | Scoop 3 tablespoons of oil from the pot where the tofu were fried. Pour it in a clean pan. Heat the pan on a stove top. | Saute onion, long green peppers, and chili. | Add the crispy fried tofu. Stir-fry for 1 minute. | Pour the bowl with broth mixture into the pan. Toss the ingredients until coated with the mixture. | Add salt and pepper to taste. | Transfer to a serving plate. Serve with a dipping sauce composed of say sauce, calamansi, and crushed chili peppers. | Share and enjoy!",firm tofu | thai chili | long green pepper | vegetable broth | cornstarch | onion powder
Tortang Talong with Ground Pork Recipe,10 minutes,25 minutes,35 minutes,2,2 Chinese eggplants | 3 eggs | 6 to 8 ounces ground pork | 1 medium tomato chopped | 1 medium onion chopped | 2 cloves crushed garlic minced | 8 tablespoons cooking oil | 1/2 teaspoon salt | 1/8 teaspoon ground black pepper,"Heat the eggplant directly over a stove top until the sides skin turns black. Remove and let it cool down. Peel the skin off and arrange in a plate. Flatten each piece using a fork. Set aside. | Meanwhile, heat 3 tablespoons oil in a pan. Saute garlic, onion, and tomato. | Add ground pork. continue to cook until the pork turns light brown. Season with salt and ground black pepper. Transfer to a clean plate and set aside. | Heat remaining oil in a clean pan. | While the oil is being heated, crack eggs and place in a bowl. Beat until smooth. | Dip a piece of eggplant into the bowl with egg. Make sure that the entire eggplant gets completely coated. | Gently slide the eggplant into the pan. | While one side is frying, arrange half of the ground pork mixture over the eggplant. Pour 2 tablespoons of beaten egg to cover the pork mixture. Tip: Scoop oil from the pan using a spoon and pour over the eggplant. This will partially cook the beaten egg on top, which will act as a binder to prevent the meat mixture from falling apart. | Flip the eggplant over to cook the opposite side. Note: you can use a wide spatula, or you can temporarily transfer the eggplant to a plate. If using the plate method, empty the oil from the pan first. Hold the pan in one hand and the plate on the other. Cover the plate with the pan and quickly flip the pan so that it facing up. The side with ground pork should be facing down at this point. Continue to cook in medium to high heat until the tortang talong with ground pork is fully cooked. Do the same step for the remaining eggplant. | Transfer to a serving plate. Serve. | Share and enjoy!",chinese eggplant | egg | pork | tomato | crushed garlic
Chicken Curry,15 minutes,50 minutes,1 hour 5 minutes,5,2 lbs. chicken cut into serving pieces | 2 33 g packs Knorr Ginataang Gulay Mix | 1 cup green peas | 1 medium potato peeled and diced | 2 cloved garlic minced | 1 thumb ginger minced | 1 medium yellow onion cubed | 1/2 teaspoon ground turmeric | 1 tablespoon curry powder | Salt and ground black pepper to taste | 2 cups water | 3 tablespoons cooking oil,"Rub curry powder all over the chicken pieces. Let it stay for 15 minutes. | Heat oil in a cooking pot. | Once the oil gets hot, saute onion, ginger, and garlic. | Add the chicken into the pot. Cook until the color turns light brown. | Combine ginataang gulay mix with 1 cup water. Stir and then pour the mixture into the cooking pot. | Pour the remaining 1 cup water. Let boil. | Add the ground turmeric. Cover and reduce the heat between low to medium. Cook until the chicken gets tender. | Add potato and green peas. Cook for 12 minutes. | Season with salt and ground black pepper. | Transfer to a serving bowl. Serve! | Share and enjoy!",chicken | green pea | potato | thumb ginger | turmeric | curry powder
Beef Short Rib Sinigang Na May Pakwan,10 minutes,1 hour,1 hour 10 minutes,5,"2 lbs. beef short rib | 2 25g pack Knorr Sinigang na may Gabi Recipe Mix | 2 cups fresh watermelon sliced and seeds removed | 1 bunch of kangkong leaves with stalk cut into serving pieces | 12 to 15 pieces snake beans sitaw, cut into 2 inch length | 1 medium tomato wedged | 1 medium yellow onion sliced | 8 cups water | 1/4 teaspoon ground black pepper | 4 tablespoons fish sauce",Pour water in a pot or pressure cooker. Let boil. | Add tomato and onion. Continue to boil for 5 minutes. | Put the beef short rib in the pressure cooker. Cover. Pressure cook for 30 minutes. | Remove the cover of the pressure cooker. Add the watermelon. Continue to boil for 10 to 12 minutes. | Add the Knorr Sinigang na may Gabi Recipe Mix. Stir. Cook for 3 minutes. | Add the snake beans. Cook for 5 minutes. | Add ground black pepper and fish sauce. Stir. | Put the kangkong leaves and stalk into the pot. Cover. Let it stay for 5 to 8 minutes. | Transfer to a serving bowl. | Serve. Share and enjoy!,short rib | watermelon | kangkong | snake beans sitaw | tomato
Sauteed Bottle Gourd with Ground Pork and Shrimp,8 minutes,30 minutes,38 minutes,4,"1 small bottle gourd upo, peeled and sliced | 8 ounces ground pork | 12 to 15 pieces shrimp shell and head removed | 1 medium ripe tomato cubed | 1 medium onion cubed | 5 cloves crushed garlic | 3/4 cup beef broth or chicken broth | 3 tablespoons cooking oil | Salt and ground black pepper to taste","Heat oil in a pan. | Saute garlic, onion, and tomato. | Once the texture of the tomato and onion becomes soft, add the ground pork. Cook until light brown. | Add the sliced bottle gourd. Cook for 3 to 5 minutes while stirring. | Pour the beef broth into the pan (you can also use chicken broth or just water). Let the liquid boil. Cover and cook for 10 minutes. | Add shrimp. Cook for 3 to 5 minutes. | Season with salt and ground black pepper. | Transfer to a serving bowl. | Serve. Share and enjoy!",bottle gourd upo | pork | shrimp shell | tomato | crushed garlic | chicken broth
Grilled Stuffed Squid (inihaw na pusit),15 minutes,15 minutes,30 minutes,3,2 large squid cleaned | 2 medium ripe tomato sliced into small cubes | 2 medium yellow onion sliced into small cubes | 2 thumbs ginger minced | 2 tablespoons mirin | 3 tablespoons soy sauce | 4 tablespoons annatto oil | 1 bunch scallions | 1 lime or 2 pieces calamansi | 1 teaspoon salt | 1/4 teaspoon ground black pepper,"Arrange squid in a bowl. Add soy sauce, mirin, and lime. Marinate for 12 minutes. | Combine onion, tomato, ginger, salt, and ground black pepper in a bowl. | Stuff the marinated squid with scallions and onion mixture. Secure the head of the squid using a toothpick to prevent it from falling off. | Heat the grill and start to grill one side of the squid. Brush annatto oil on top of the squid. Continue to grill for 2 minutes. | Turn the squid over to grill the opposite side. Brush annatto oil on top. Continue to grill for another 2 minutes. Note: Flip the squid every 2 to 3 minutes until it gets fully cooked. Do not overcook squid as the texture will be tough and rubberlike. | Transfer to a serving plate. Serve with a dipping sauce composed of chopped onion, tomato, soy sauce, and vinegar. | Share and enjoy!",squid | tomato | thumbs ginger | mirin | annatto oil | green onion | calamansi
Sous Vide Chicken Adobo,15 minutes,4 hours 12 minutes,4 hours 27 minutes,5,1 1/2 lbs. chicken thighs and drumstick | 6 pieces dried bay leaves | 1 cup soy sauce | 1 head garlic crushed | 1 tablespoons whole peppercorn | 1/4 cup vinegar | 1/2 cup chicken broth,"Place the chicken pieces in a resealable freezer bag. Add bay leaves, peppercorn, garlic, and soy sauce. Vacuum-seal the bag. | Pour water into a heat-safe food storage container or deep pot. Preheat water using a sous vide cooker at 155F. | Gently submerge the sealed bags or pouches with chicken. Let it cook for 4 hours. | Remove the chicken from the bags. Transfer to a cooking pot with half of the marinade (soy sauce mixture). | Put the cooking pot in a stovetop. Let the liquid boil. | Add chicken broth and vinegar. Cover and cook for 5 to 8 minutes. | Transfer to a serving plate. Serve. | Share and enjoy!",chicken | dried bay leave | whole peppercorn | chicken broth
Afritadang Baboy Recipe,10 minutes,1 hour,1 hour 10 minutes,5,2 lbs. pork shoulder sliced into cubes | 1 8 oz. can tomato sauce | 1 large potato cubed | 2 medium carrots cubed | 3 to 5 pieces dried bay leaves | 2 cups beef broth | 1 small red bell pepper sliced | 1 small green bell pepper sliced | 1 medium onion chopped | 5 cloves garlic crushed | 3 tablespoons cooking oil | Salt and ground black pepper to taste,Heat oil in a pot. | Saute garlic and onion. | Add pork. Saute until light brown. | Pour tomato sauce and beef broth. Let boil. | Add bay leaves. Cover and then cook in medium heat for 45 minutes or until the pork gets tender. Note: add more beef broth if needed. | Add potato and carrots. Cook for 5 to 8 minutes. | Add bell peppers. Cook for 3 minutes. | Season with salt and ground black pepper. Stir. | Transfer to a serving plate. Share and enjoy!,pork | sauce | potato | carrot | dried bay leave | beef broth | bell pepper
Sinigang na Salmon sa Miso,5 minutes,35 minutes,40 minutes,6,3 salmon heads cut lengthwise into half | 2 25g pack Knorr Sinigang na May Miso Recipe Mix | 1 bunch mustard leaves | 12 pieces okra | 2 medium tomato wedged | 3 pieces long green peppers | 2 medium yellow onion wedged | 6 to 8 cups water | 1/2 teaspoon ground black pepper | 2 to 3 tablespoons fish sauce patis,"Pour water in a cooking pot. Let boil. | Add onion and tomato. Let the water- re-boil. | Put the salmon heads into the pot. Stir. | Once the water starts to boil once more, add Knorr Sinigang na May Miso Recipe Mix. Stir. | Add the long green peppers. Cover and then cook in medium heat for 12 minutes. | Add okra, ground black pepper, and fish sauce. Stir. cover and cook for 5 minutes. | Add the mustard leaves. Cover and cook for 3 to 5 minutes. | Transfer to a serving bowl. Serve. | Share and enjoy!",salmon | mustard leave | okra | tomato | long green pepper | fish sauce fish sauce
Bulalo Beef Pares Recipe,10 minutes,50 minutes,1 hour,4,3 lbs. beef shank | 1 teaspoon salt | 1/2 teaspoon ground black pepper | 6 cups water | 1 yellow onion wedged | 1 yellow onion minced | 4 cloves garlic crushed | 1 thumb ginger minced | 4 tablespoons brown sugar | 4 to 5 pieces star anise | 3 tablespoons cooking oil | 4 tablespoons soy sauce | 3 cups garlic fried rice.,"Pour water into a pressure cooker. Let boil, | Add wedged onion, ground black pepper, and salt. | Put the beef shank in the pressure cooker. Cover and pressure cook for 20 to 30 minutes. | Remove the beef shank. Set the beef stock aside. | In a clean pot, heat oil. | Saute garlic, onion, and ginger. | Add the boiled beef shank. Cook for 1 minute. | Pour soy sauce and 1 3/4 cups of beef stock (water used to boil beef) into the pot. Let boil. Cover and then cook in medium heat for 8 minutes. | Add star anise. Cook for 12 minutes. Remove the star anise from the pot. | Add brown sugar. Stir. Cook for 3 to 5 minutes. | Add salt and ground black pepper to taste. | Transfer to a serving bowl. Serve with garlic fried rice and beef stock (soup). | Share and enjoy!",beef | thumb ginger | brown sugar | star anise
Shrimp Monggo with Lechon Kawali,10 minutes,1 hour,1 hour 10 minutes,4,1 lb. pork belly | 2 1/2 tablespoons Knorr Liquid Seasoning | 1 1/2 cups cooking oil | 6 cups water | 1 cup mung beans | 1 bunch fresh spinach | 6 to 8 ounces shrimp shell and head removed | 1 Knorr Shrimp cube | 1 medium tomato cubed | 1 medium yellow onion sliced | 3 cloves garlic crushed | 4 to 5 cups water | 4 tablespoons cooking oil | Salt and ground black pepper to taste,"Start to prepare the lechon kawali by boiling water in a pot. Add the pork belly. Boil in medium heat for 30 to 40 minutes. | While the pork belly is being boiled, prepare the shrimp monggo by heating oil in a second cooking pot. Add shrimp. Stir-fry for 3 minutes. Remove from the pan. Set aside. | Using the remaining oil, saute garlic, onion, and tomato. Add the mung beans and pour water into the pot. Let boil. Add Knorr Shrimp cube. Stir. cover and cook in medium heat until the mung beans becomes soft. Note: add more water if needed. | Meanwhile, remove the pork belly from the first pot. Let it cool down. Coat with Knorr Liquid Seasoning. Let it stay for 10 to 20 minutes. | Check the second pot with mung beans. Once the mung beans are tender, add spinach. Cook for 3 minutes. Add the shrimp back and season with salt and ground black pepper. Transfer to a serving bowl. | Start to fry the lechon kawali by heating oil in a clean pot. Once the oil gets hot, gently lower the pork belly. Cover the pot with a splatter screen. Cook one side in medium heat until it gets golden brown and crispy. Turn it over and do the same to the other side. Remove from the pot. Let it cool down. Slice and transfer to a serving plate. | Serve the lechon kawali and shrimp monggo with rice. | Share and enjoy!",pork | mung bean | spinach | shrimp shell | tomato
Grilled Pork Belly with Garlic Fried Rice and Fried Egg  Liempo Sinangag Itlog,3 hours,30 minutes,3 hours 30 minutes,3,3 fried eggs | 1 lb. grilled pork belly | 5 tablespoons soy sauce | 1 lemon or 3 pieces calamansi | 1/4 teaspoon ground black pepper | 1 teaspoon garlic powder | 2 to 3 cups cooked white rice preferably leftovers | 5 cloves garlic crushed | 3 tablespoons cooking oil | 1/4 teaspoon salt,"Prepare the marinade of the pork belly by combining soy sauce, lemon juice, ground black pepper, and garlic powder in a large bowl. Stir. Put the pork belly into the bowl and then coat it with the mixture. Let it marinate for at least 3 hours. | Grill the pork belly for 3 minutes per side while basting every turn. Continue with the process until the pork is cooked thoroughly. Once the pork is cooked, slice it into bite-sized pieces. Note: the ingredients for the basting sauce are the same as the marinade plus a tablespoon of cooking oil. | Prepare the garlic fried rice by heating oil in a pan. Add the garlic. Cook in medium heat until light brown. Set the heat to high and then put the rice into the pan. Gently cut using the spatula and fold to blend with oil and garlic. Add salt and then continue to cook while folding once in a while for 5 minutes. | Transfer the garlic fried rice into individual plates. Add grilled pork belly and a piece of fried egg on each plate. Serve. | Share and enjoy!",fried egg | grilled pork belly | calamansi | garlic powder | cooked white rice
